id,title,description,availability,link,image link,price,identifier exists,gtin,mpn,brand,condition,adult,color,size,gender,age group
TRAVEL-MUG-GGL,"Google Logo Travel Mug - 14oz","Keep your drinks hot or cold on the go with this Google logo travel mug.",in_stock,http://www.example.com/google_travel_mug,http://www.example.com/google_travel_mug.jpg,19.99 USD,yes,,TRAVEL-MUG-GGL,Google,new,no,Stainless Steel,,unisex,adult
PXL7PRO-HLZ-128,"Google Pixel 7 Pro - Unlocked 128GB Smartphone","Google's most powerful phone, with an advanced camera and Tensor G2. In Hazel.",in_stock,http://www.example.com/pixel_7_pro_hazel,http://www.example.com/pixel_7_pro_hazel.jpg,899.00 USD,yes,840244700029,GE2AE,Google Pixel,new,no,Hazel,,unisex,adult
TS-GGL-TEE-GRN-M,"Google Logo T-Shirt - Men's Medium, Green","Classic 100% cotton t-shirt with Google logo, size medium, in green.",in_stock,http://www.example.com/google_tee_men_green_m,http://www.example.com/google_tee_men_green_m.jpg,24.99 USD,yes,,TS-GGL-TEE-GRN-M,Google,new,no,Green,M,male,adult
NEST-SMOKE-CO-BAT,"Google Nest Protect - Smoke and Carbon Monoxide Alarm (Battery)","Know more, worry less. Nest Protect alerts your phone if smoke or CO is detected, battery powered.",in_stock,http://www.example.com/nest_protect_battery,http://www.example.com/nest_protect_battery.jpg,119.00 USD,yes,193575000357,S3000BZ,Google Nest,new,no,White,,unisex,adult
CHRG-CAR-USB,"Google Branded Car Charger - USB-C","Fast charge your devices on the road with this Google-branded car charger.",in_stock,http://www.example.com/google_car_charger,http://www.example.com/google_car_charger.jpg,22.99 USD,yes,,CHRG-CAR-USB,Google,new,no,Black,,unisex,adult
CBL-HDMI-GGL,"Google Branded HDMI Cable - 1.8m","A high-quality 1.8-meter HDMI cable for crisp audio and video.",in_stock,http://www.example.com/google_hdmi_cable,http://www.example.com/google_hdmi_cable.jpg,19.99 USD,yes,,CBL-HDMI-GGL,Google,new,no,Black,,unisex,adult
EARBUDS-WIRED-GGL,"Google Branded Wired Earbuds","Simple and reliable wired earbuds with Google branding.",in_stock,http://www.example.com/google_wired_earbuds,http://www.example.com/google_wired_earbuds.jpg,15.99 USD,yes,,EARBUDS-WIRED-GGL,Google,new,no,White,,unisex,adult
BLANKET-GGL-FLEECE,"Google Logo Fleece Blanket","Cozy up with this soft fleece blanket featuring the Google logo.",in_stock,http://www.example.com/google_fleece_blanket,http://www.example.com/google_fleece_blanket.jpg,39.99 USD,yes,,BLANKET-GGL-FLEECE,Google,new,no,Blue,,unisex,adult
PXL7PRO-SNW-128,"Google Pixel 7 Pro - Unlocked 128GB Smartphone","Google's most powerful phone, with an advanced camera and Tensor G2. In Snow.",in_stock,http://www.example.com/pixel_7_pro_snow,http://www.example.com/pixel_7_pro_snow.jpg,899.00 USD,yes,840244700030,GE2AE,Google Pixel,new,no,Snow,,unisex,adult
TS-GGL-TEE-YEL-M,"Google Logo T-Shirt - Men's Medium, Yellow","Classic 100% cotton t-shirt with Google logo, size medium, in yellow.",in_stock,http://www.example.com/google_tee_men_yellow_m,http://www.example.com/google_tee_men_yellow_m.jpg,24.99 USD,yes,,TS-GGL-TEE-YEL-M,Google,new,no,Yellow,M,male,adult
NEST-WIFI-PRO-3PK,"Google Nest Wifi Pro - 3 Pack Mesh Wi-Fi System","Fast, reliable, and secure whole-home Wi-Fi 6E system.",in_stock,http://www.example.com/nest_wifi_pro_3pk,http://www.example.com/nest_wifi_pro_3pk.jpg,399.99 USD,yes,193575000364,GA03622-US,Google,new,no,Snow,,unisex,adult
PXLBUDS-A-DAISY,"Google Pixel Buds A-Series - True Wireless Earbuds","Great sound, clear calls, and helpful Google Assistant. In Dark Olive.",in_stock,http://www.example.com/pixel_buds_a_dark_olive,http://www.example.com/pixel_buds_a_dark_olive.jpg,99.00 USD,yes,840244700067,GA02374-US,Google Pixel,new,no,Dark Olive,,unisex,adult
CASE-PXLWATCH-BLK,"Google Pixel Watch Case - Black","Protect your Pixel Watch with this sleek black protective case.",in_stock,http://www.example.com/pixel_watch_case_black,http://www.example.com/pixel_watch_case_black.jpg,19.99 USD,yes,,CASE-PXLWATCH-BLK,Google Pixel,new,no,Black,,unisex,adult
HEADPHONES-GGL,"Google Branded Over-Ear Headphones","High-quality over-ear headphones with Google branding, for immersive audio.",in_stock,http://www.example.com/google_headphones,http://www.example.com/google_headphones.jpg,79.99 USD,yes,,HEADPHONES-GGL,Google,new,no,Black,,unisex,adult
PXL7A-SNW,"Google Pixel 7a - Unlocked Android Smartphone","Experience the power of Google Tensor G2 in a budget-friendly phone with an amazing camera.",in_stock,http://www.example.com/pixel_7a_snow,http://www.example.com/pixel_7a_snow.jpg,499.00 USD,yes,840244700019,GHL16,Google Pixel,new,no,Snow,,unisex,adult
TS-GGL-KID-XL,"Google Logo T-Shirt - Kids' X-Large","A fun and comfortable Google logo t-shirt for kids, size X-Large.",in_stock,http://www.example.com/google_tee_kids_xl,http://www.example.com/google_tee_kids_xl.jpg,19.99 USD,yes,,TS-GGL-KID-XL,Google,new,no,Blue,XL,unisex,kids
HOODIE-GGL-BLK-L,"Google Logo Hoodie - Unisex Large, Black","Comfortable Google logo hoodie, size large, in black color.",in_stock,http://www.example.com/google_hoodie_black_l,http://www.example.com/google_hoodie_black_l.jpg,59.99 USD,yes,,HOODIE-GGL-BLK-L,Google,new,no,Black,L,unisex,adult
SPEAKER-BT-GGL,"Google Branded Bluetooth Speaker","A portable Bluetooth speaker with the Google logo, for on-the-go music.",in_stock,http://www.example.com/google_bt_speaker,http://www.example.com/google_bt_speaker.jpg,39.99 USD,yes,,SPEAKER-BT-GGL,Google,new,no,Grey,,unisex,adult
SWEATSHIRT-GGL-S,"Google Logo Sweatshirt - Unisex Small","A cozy sweatshirt with the Google logo, size small.",in_stock,http://www.example.com/google_sweatshirt_s,http://www.example.com/google_sweatshirt_s.jpg,49.99 USD,yes,,SWEATSHIRT-GGL-S,Google,new,no,Grey,S,unisex,adult
FANNYPACK-GGL,"Google Logo Fanny Pack","A convenient fanny pack with the Google logo for carrying essentials.",in_stock,http://www.example.com/google_fanny_pack,http://www.example.com/google_fanny_pack.jpg,25.99 USD,yes,,FANNYPACK-GGL,Google,new,no,Black,,unisex,adult
PXL7A-SEA,"Google Pixel 7a - Unlocked Android Smartphone","Experience the power of Google Tensor G2 in a budget-friendly phone with an amazing camera.",in_stock,http://www.example.com/pixel_7a_sea,http://www.example.com/pixel_7a_sea.jpg,499.00 USD,yes,840244700020,GHL16,Google Pixel,new,no,Sea,,unisex,adult
TS-GGL-TEE-PUR-M,"Google Logo T-Shirt - Men's Medium, Purple","Classic 100% cotton t-shirt with Google logo, size medium, in purple.",in_stock,http://www.example.com/google_tee_men_purple_m,http://www.example.com/google_tee_men_purple_m.jpg,24.99 USD,yes,,TS-GGL-TEE-PUR-M,Google,new,no,Purple,M,male,adult
NEST-WIFI-PRO-1PK,"Google Nest Wifi Pro - 1 Pack Mesh Wi-Fi Router","Experience fast, reliable, and secure whole-home Wi-Fi 6E.",in_stock,http://www.example.com/nest_wifi_pro_1pk,http://www.example.com/nest_wifi_pro_1pk.jpg,199.99 USD,yes,193575000365,GA03623-US,Google,new,no,Snow,,unisex,adult
PXLBUDS-PRO-CORAL,"Google Pixel Buds Pro - Noise-Canceling Earbuds","Immerse yourself in sound with Pixel Buds Pro, featuring active noise cancellation. In Coral.",in_stock,http://www.example.com/pixel_buds_pro_coral,http://www.example.com/pixel_buds_pro_coral.jpg,199.99 USD,yes,840244700059,GA03206-US,Google Pixel,new,no,Coral,,unisex,adult
CASE-PXLWATCH-WHT,"Google Pixel Watch Case - White","Protect your Pixel Watch with this sleek white protective case.",in_stock,http://www.example.com/pixel_watch_case_white,http://www.example.com/pixel_watch_case_white.jpg,19.99 USD,yes,,CASE-PXLWATCH-WHT,Google Pixel,new,no,White,,unisex,adult
USB-FLSH-GGL-32GB,"Google Logo USB Flash Drive - 32GB","Store your data securely on this 32GB Google logo USB flash drive.",in_stock,http://www.example.com/google_usb_32gb,http://www.example.com/google_usb_32gb.jpg,14.99 USD,yes,,USB-FLSH-GGL-32GB,Google,new,no,Silver,,unisex,adult
PXL7PRO-OBS-256,"Google Pixel 7 Pro - Unlocked 256GB Smartphone","Google's most powerful phone, with an advanced camera and Tensor G2, 256GB storage.",in_stock,http://www.example.com/pixel_7_pro_obs_256,http://www.example.com/pixel_7_pro_obs_256.jpg,969.00 USD,yes,840244700031,GE2AE,Google Pixel,new,no,Obsidian,,unisex,adult
TS-GGL-TEE-KID-RED,"Google Logo T-Shirt - Kids' Small, Red","A fun and comfortable Google logo t-shirt for kids, size small, in red.",in_stock,http://www.example.com/google_tee_kids_red_s,http://www.example.com/google_tee_kids_red_s.jpg,19.99 USD,yes,,TS-GGL-TEE-KID-RED,Google,new,no,Red,S,unisex,kids
HOODIE-GGL-BLU-M,"Google Logo Hoodie - Unisex Medium, Blue","Comfortable Google logo hoodie, size medium, in blue color.",in_stock,http://www.example.com/google_hoodie_blue_m,http://www.example.com/google_hoodie_blue_m.jpg,59.99 USD,yes,,HOODIE-GGL-BLU-M,Google,new,no,Blue,M,unisex,adult
SWEATSHIRT-GGL-M,"Google Logo Sweatshirt - Unisex Medium","A cozy sweatshirt with the Google logo, size medium.",in_stock,http://www.example.com/google_sweatshirt_m,http://www.example.com/google_sweatshirt_m.jpg,49.99 USD,yes,,SWEATSHIRT-GGL-M,Google,new,no,Grey,M,unisex,adult
TOTEBAG-GGL,"Google Logo Tote Bag","A reusable canvas tote bag with the Google logo, perfect for shopping or daily use.",in_stock,http://www.example.com/google_tote_bag,http://www.example.com/google_tote_bag.jpg,16.99 USD,yes,,TOTEBAG-GGL,Google,new,no,Natural,,unisex,adult
